route_name_list,lon,lat,datetime,type_list,status_list
5_70_rider_14,-74.0022843,40.721658399999995,2016/3/5 18:48:10,rider,onboard
5_70_rider_14,-74.00224614999999,40.7216397,2016/3/5 18:48:15,rider,onboard
5_70_rider_14,-74.002208,40.721621,2016/3/5 18:48:20,rider,onboard
5_70_rider_14,-74.002208,40.721621,2016/3/5 18:48:25,rider,onboard
5_70_rider_14,-74.00182749999999,40.721436499999996,2016/3/5 18:48:30,rider,onboard
5_70_rider_14,-74.001447,40.721252,2016/3/5 18:48:35,rider,onboard
5_70_rider_14,-74.001447,40.721252,2016/3/5 18:48:40,rider,onboard
5_70_rider_14,-74.00131331666667,40.72118723333333,2016/3/5 18:48:45,rider,onboard
5_70_rider_14,-74.00117963333334,40.721122466666664,2016/3/5 18:48:50,rider,onboard
5_70_rider_14,-74.00104594999999,40.7210577,2016/3/5 18:48:55,rider,onboard
5_70_rider_14,-74.00091226666666,40.720992933333335,2016/3/5 18:49:00,rider,onboard
5_70_rider_14,-74.00077858333333,40.72092816666667,2016/3/5 18:49:05,rider,onboard
5_70_rider_14,-74.0006449,40.7208634,2016/3/5 18:49:10,rider,onboard
5_70_rider_14,-74.0006449,40.7208634,2016/3/5 18:49:15,rider,onboard
5_70_rider_14,-74.00090493333333,40.72055493333333,2016/3/5 18:49:20,rider,onboard
5_70_rider_14,-74.00116496666666,40.720246466666666,2016/3/5 18:49:25,rider,onboard
5_70_rider_14,-74.001425,40.719938,2016/3/5 18:49:30,rider,onboard
5_70_rider_14,-74.001425,40.719938,2016/3/5 18:49:35,rider,onboard
5_70_rider_14,-74.00165095,40.719671899999994,2016/3/5 18:49:40,rider,onboard
5_70_rider_14,-74.00187690000001,40.7194058,2016/3/5 18:49:45,rider,onboard
5_70_rider_14,-74.00187690000001,40.7194058,2016/3/5 18:49:50,rider,onboard
5_70_rider_14,-74.00209100000001,40.719153000000006,2016/3/5 18:49:55,rider,onboard
5_70_rider_14,-74.00209100000001,40.719153000000006,2016/3/5 18:50:00,rider,onboard
5_70_rider_14,-74.00213077272728,40.71910626363637,2016/3/5 18:50:05,rider,onboard
5_70_rider_14,-74.00217054545455,40.719059527272734,2016/3/5 18:50:10,rider,onboard
5_70_rider_14,-74.00221031818182,40.71901279090909,2016/3/5 18:50:15,rider,onboard
5_70_rider_14,-74.0022500909091,40.718966054545454,2016/3/5 18:50:20,rider,onboard
5_70_rider_14,-74.00228986363636,40.71891931818182,2016/3/5 18:50:25,rider,onboard
5_70_rider_14,-74.00232963636364,40.71887258181818,2016/3/5 18:50:30,rider,onboard
5_70_rider_14,-74.0023694090909,40.718825845454546,2016/3/5 18:50:35,rider,onboard
5_70_rider_14,-74.00240918181818,40.71877910909091,2016/3/5 18:50:40,rider,onboard
5_70_rider_14,-74.00244895454546,40.71873237272727,2016/3/5 18:50:45,rider,onboard
5_70_rider_14,-74.00248872727272,40.71868563636363,2016/3/5 18:50:50,rider,onboard
5_70_rider_14,-74.0025285,40.718638899999995,2016/3/5 18:50:55,rider,onboard
5_70_rider_14,-74.0025285,40.718638899999995,2016/3/5 18:51:00,rider,onboard
5_70_rider_14,-74.00278575,40.71833635,2016/3/5 18:51:05,rider,onboard
5_70_rider_14,-74.003043,40.7180338,2016/3/5 18:51:10,rider,onboard
5_70_rider_14,-74.003043,40.7180338,2016/3/5 18:51:15,rider,onboard
5_70_rider_14,-74.003288,40.7177414,2016/3/5 18:51:20,rider,onboard
5_70_rider_14,-74.00353299999999,40.717449,2016/3/5 18:51:25,rider,onboard
5_70_rider_14,-74.00353299999999,40.717449,2016/3/5 18:51:30,rider,onboard
5_70_rider_14,-74.00361516666666,40.71735266666667,2016/3/5 18:51:35,rider,onboard
5_70_rider_14,-74.00369733333332,40.71725633333334,2016/3/5 18:51:40,rider,onboard
5_70_rider_14,-74.0037795,40.71716000000001,2016/3/5 18:51:45,rider,onboard
5_70_rider_14,-74.00386166666667,40.71706366666667,2016/3/5 18:51:50,rider,onboard
5_70_rider_14,-74.00394383333332,40.716967333333336,2016/3/5 18:51:55,rider,onboard
5_70_rider_14,-74.004026,40.716871000000005,2016/3/5 18:52:00,rider,onboard
5_70_rider_14,-74.004026,40.716871000000005,2016/3/5 18:52:05,rider,onboard
5_70_rider_14,-74.00411005,40.71677365000001,2016/3/5 18:52:10,rider,onboard
5_70_rider_14,-74.00419409999999,40.7166763,2016/3/5 18:52:15,rider,onboard
5_70_rider_14,-74.00427815,40.71657895,2016/3/5 18:52:20,rider,onboard
5_70_rider_14,-74.0043622,40.7164816,2016/3/5 18:52:25,rider,onboard
5_70_rider_14,-74.00444625,40.716384250000004,2016/3/5 18:52:30,rider,onboard
5_70_rider_14,-74.0045303,40.7162869,2016/3/5 18:52:35,rider,onboard
5_70_rider_14,-74.0045303,40.7162869,2016/3/5 18:52:40,rider,onboard
5_70_rider_14,-74.00457487,40.716234209999996,2016/3/5 18:52:45,rider,onboard
