route_name_list,lon,lat,datetime,type_list,status_list,matched_entity_id_list,current_edge_list,direction_angle_list,matched_rider_cnt,OrgPickup_cnt,reposition_recommend_cnt,reposition_recommend_and_accept_cnt,reposition_recommend_but_reject_cnt,matching_rate,unmatched_rider_cnt,total_revenue,total_revenue_added_by_reposition
7_63_1890_rider_5_meeting_point,-73.9965747,40.7211736,2016-03-07 15:48:10,point,display,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5_meeting_point,-73.9965747,40.7211736,2016-03-07 15:48:15,point,display,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5_meeting_point,-73.9965747,40.7211736,2016-03-07 15:48:20,point,display,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5_meeting_point,-73.9965747,40.7211736,2016-03-07 15:48:25,point,display,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_6,-73.951248,40.778551,2016-03-7 15:48:00,rider,onboard,driver_16,"[42443042, 42443040]",209.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_6,-73.95162145,40.778708683333335,2016-03-7 15:48:05,rider,onboard,driver_16,"[42443040, 42450030]",299.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_6,-73.9519949,40.77886636666667,2016-03-7 15:48:10,rider,onboard,driver_16,"[42443040, 42450030]",299.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_6,-73.95236835,40.779024050000004,2016-03-7 15:48:15,rider,onboard,driver_16,"[42443040, 42450030]",299.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_6,-73.9527418,40.77918173333333,2016-03-7 15:48:20,rider,onboard,driver_16,"[42443040, 42450030]",299.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_6,-73.95311525,40.779339416666666,2016-03-7 15:48:25,rider,onboard,driver_16,"[42443040, 42450030]",299.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7,-73.9574044,40.7827919,2016-03-7 15:48:00,rider,wait,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7,-73.9574044,40.7827919,2016-03-7 15:48:05,rider,wait,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7,-73.9574044,40.7827919,2016-03-7 15:48:10,rider,wait,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7,-73.9574044,40.7827919,2016-03-7 15:48:15,rider,wait,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7,-73.9574044,40.7827919,2016-03-7 15:48:20,rider,wait,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7,-73.9574044,40.7827919,2016-03-7 15:48:25,rider,wait,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7_meeting_point,-73.9574044,40.7827919,2016-03-07 15:48:00,point,display,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7_meeting_point,-73.9574044,40.7827919,2016-03-07 15:48:05,point,display,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7_meeting_point,-73.9574044,40.7827919,2016-03-07 15:48:10,point,display,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7_meeting_point,-73.9574044,40.7827919,2016-03-07 15:48:15,point,display,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7_meeting_point,-73.9574044,40.7827919,2016-03-07 15:48:20,point,display,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_7_meeting_point,-73.9574044,40.7827919,2016-03-07 15:48:25,point,display,driver_43,"[42436539, 42436539]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8,-73.965409,40.8086624,2016-03-7 15:48:00,rider,wait,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8,-73.965409,40.8086624,2016-03-7 15:48:05,rider,wait,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8,-73.965409,40.8086624,2016-03-7 15:48:10,rider,wait,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8,-73.965409,40.8086624,2016-03-7 15:48:15,rider,wait,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8,-73.965409,40.8086624,2016-03-7 15:48:20,rider,wait,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8,-73.965409,40.8086624,2016-03-7 15:48:25,rider,wait,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8_meeting_point,-73.965409,40.8086624,2016-03-07 15:48:00,point,display,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8_meeting_point,-73.965409,40.8086624,2016-03-07 15:48:05,point,display,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8_meeting_point,-73.965409,40.8086624,2016-03-07 15:48:10,point,display,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8_meeting_point,-73.965409,40.8086624,2016-03-07 15:48:15,point,display,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8_meeting_point,-73.965409,40.8086624,2016-03-07 15:48:20,point,display,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_8_meeting_point,-73.965409,40.8086624,2016-03-07 15:48:25,point,display,driver_41,"[595314040, 595314040]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_10,-73.9955052,40.7334469,2016-03-7 15:48:00,rider,wait,driver_22,"[42430857, 42430857]",0.0,1,1,1,1,1,1,1,1,1
